          ID   lat_alloc   lon_alloc  area_alloc     lat_ori     lon_ori loc_km_diff      ix      ix
         378      44.013     142.151     640.018      44.013     142.151       0.032   15949    4311
         379      43.806     142.013     985.300      43.807     142.013       0.084   15850    4460
         380      43.788     141.928    1150.613      43.789     141.928       0.098   15789    4473
         381      43.730     141.912    1409.682      43.730     141.914       0.179   15777    4515
         382      43.684     141.915    1661.681      43.684     141.913       0.128   15779    4548
         383      43.153     141.370      60.602      43.153     141.371       0.087   15387    4930
         384      43.158     141.362      60.858      43.158     141.361       0.077   15381    4927
         385      43.119     141.427      19.790      43.118     141.427       0.084   15428    4955
         386      43.156     141.352      17.269      43.156     141.352       0.029   15374    4928
         387      43.124     141.344       8.210      43.125     141.344       0.079   15368    4951
         388      43.087     141.559      22.980      43.087     141.559       0.022   15523    4978
         389      43.012     141.703       7.530      43.012     141.701       0.203   15627    5032
         390      42.983     141.556      23.432      42.983     141.556       0.045   15521    5053
         391      42.988     141.565      24.749      42.988     141.564       0.053   15527    5049
         392      42.935     141.562      51.594      42.936     141.562       0.067   15525    5087
         393      42.941     141.569      52.195      42.941     141.569       0.021   15530    5083
         394      42.891     141.551      20.956      42.891     141.550       0.056   15517    5119
         395      42.905     141.567      22.426      42.905     141.567       0.034   15529    5109
         396      42.916     141.578      29.639      42.916     141.579       0.043   15537    5101
         397      43.048     141.452      97.280      43.047     141.452       0.103   15446    5006
         398      43.112     141.478     150.647      43.112     141.478       0.044   15465    4960
         399      43.038     141.483      22.688      43.038     141.482       0.057   15468    5013
         400      43.062     141.467      27.324      43.061     141.467       0.094   15457    4996
         401      42.858     141.403      40.291      42.857     141.403       0.081   15411    5143
         402      42.880     141.570     130.027      42.879     141.570       0.096   15531    5127
         403      43.041     141.431      22.313      43.041     141.431       0.020   15431    5011
         404      43.058     141.431      23.713      43.057     141.432       0.093   15431    4999
         405      42.910     141.723      62.180      42.910     141.723       0.047   15641    5105
         406      42.934     141.341      30.059      42.934     141.341       0.004   15366    5088
         407      42.987     141.349      35.348      42.987     141.349       0.033   15372    5050
         408      42.860     141.623      12.852      42.861     141.623       0.065   15569    5141
         409      42.816     141.647      63.207      42.816     141.646       0.043   15586    5173
         410      43.033     141.128      68.047      43.033     141.129       0.058   15213    5017
         411      43.013     141.155      14.592      43.013     141.154       0.074   15232    5031
         412      42.974     141.173     200.520      42.974     141.173       0.035   15245    5059
         413      43.145     141.722     177.566      43.145     141.721       0.046   15640    4936
