ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,area_diff,area_error,loc_km_diff,alloc_score,ix,ix,lat_mod,lon_mod,area_mod,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1160265,-33.313,19.071,395.114,-33.314,19.074,395,1.288,0.003,0.672,0.138,11945,7399,-33.314,19.074,395,,Nieuwkloof (27711408),KLEIN-BERGRIVIER,ZA,2020/1/31,2019/2/12,-999,93
1160270,-33.354,19.104,35.029,-33.352,19.1,35,-1.603,-0.046,0.999,0.374,11946,7402,-33.352,19.1,35,,Watervalsberge (27711412),WATERVALRIVIER,ZA,2020/1/31,2018/5/22,1160265,277
1160271,-33.379,19.163,19.142,-33.379,19.149,27,-7.858,-0.291,1.667,0.95,11950,7404,-33.379,19.149,27,,Watervalsberge (27711411),WATERVALRIVIER,ZA,2020/1/31,2019/2/12,1160270,181
1160275,-33.388,19.163,9.08,-33.388,19.159,10,9.142,0.914,0.453,1.201,11950,7404,-33.388,19.159,10,,Knolvlei Bos Res. (27711410),KNOLVLEISPRUIT,ZA,2020/1/31,2019/2/12,1160265,176
1160290,-33.913,18.946,32.29,-33.912,18.944,30,2.445,0.081,0.48,0.257,11937,7435,-33.912,18.944,30,,Jonkershoek (27711419),BANGHOEKRIVIER,ZA,2020/1/31,2019/2/12,1160260,259
1160295,-33.896,19.088,46.086,-33.891,19.079,46,0.434,0.009,1.207,0.365,11946,7434,-33.891,19.079,46,,Le Mouillage (27711403),FRANSCHHOEKRIVIER,ZA,2020/1/31,2019/2/12,1160260,199
1160300,-33.379,19.304,659.733,-33.381,19.301,657,2.408,0.004,0.931,0.19,11959,7403,-33.381,19.301,657,,Ceres Toeken Geb.,BREE,ZA,2020/1/31,2019/2/12,1160301,441
1160301,-33.421,19.271,755.487,-33.422,19.267,753,3.258,0.004,0.815,0.167,11957,7406,-33.422,19.267,753,,Ceres Toeken Geb.,BREE,ZA,2020/1/31,2019/2/12,1160302,294
1160302,-34.071,20.388,9843.709,-34.07,20.39,9854,-9.699,-0.001,0.584,0.118,12024,7445,-34.07,20.39,9854,,Oude Pont (27694301),BREE,ZA,2020/1/31,2018/5/22,-999,77
1160310,-33.363,19.296,53.698,-33.359,19.298,52,1.699,0.033,0.57,0.191,11958,7402,-33.359,19.298,52,,Ceres (27694913),KOEKEDOURIVIER,ZA,2020/1/31,2019/2/12,1160300,455
1160315,-33.463,19.621,16.124,-33.462,19.617,16,0.446,0.028,0.947,0.501,11977,7408,-33.462,19.617,16,,Roode Els Berg (27694805),ROOIELSKLOOFRIVIER,ZA,2020/1/31,2019/2/12,1160300,482
1160317,-33.571,19.146,83.645,-33.568,19.145,85,-1.362,-0.016,0.825,0.191,11949,7415,-33.568,19.145,85,,Drosterskloof (27694907),WITRIVIER,ZA,2020/1/31,2019/2/12,1160302,273
1160318,-33.754,19.329,159.427,-33.757,19.33,152,7.427,0.049,0.476,0.144,11960,7426,-33.757,19.33,152,,D/S Dashboch River (27694912),HOLSLOOT,ZA,2020/1/31,2018/5/22,1160302,296
1160320,-32.504,19.538,6849.054,-32.503,19.535,6895,-45.891,-0.007,0.86,0.177,11973,7351,-32.503,19.535,6895,,Elands Drift - Aspoort (27712202),DORINGRIVIER,ZA,2020/1/31,2019/2/12,-999,389
1160324,-33.771,19.863,29.225,-33.764,19.851,24,7,0.292,1.381,0.856,11992,7427,-33.764,19.851,24,,Langevalley (27694705),WILLEM NELSRIVIER,ZA,2020/1/31,2018/5/22,1160302,558
