        ID       lat       lon        area    Type     ix1   iy1     ix2   iy2  elv_outlet   elv_gauge    elv_upst  dst_outlet    dst_upst
       271    44.019   143.785       253.1       1    1247   120    1246   120       23.70       24.32       27.90        0.33        2.28
       272    44.147   143.681       121.2       1    1241   112    1240   112        3.30        3.30        4.44        0.00        1.33
       273    43.784   144.535       236.9       1    1293   134    1292   134       52.20       52.20       58.40        0.00        1.85
       274    43.838   144.601       341.6       1    1296   130    1296   131       15.85       15.85       17.92        0.00        0.93
       275    43.901   144.641       531.0       1    1300   126    1299   127        0.00        4.03        5.61        2.27        0.57
       276    43.885   144.660       172.4       1    1300   127    1301   128        4.32        6.03        6.03        2.05        0.33
       277    42.391   143.302       158.3       1    1218   217    1217   216       43.64       45.82       54.05        0.34        1.51
       278    42.494   143.278       463.1       1    1217   211    1216   211       59.10       62.01       65.65        0.92        1.15
       279    42.524   143.195       413.6       1    1212   209    1211   208      101.58      104.23      110.53        0.92        1.91
       280    42.905   143.931       283.0       1    1256   186    1257   186        3.47        5.13        6.11        0.57        0.46
       281    42.972   144.059       349.9       1    1264   182    1264   181        2.49        3.63        6.61        0.57        0.93
       282    42.990   144.127       274.6       1    1268   181    1268   180        1.05        2.86        4.35        1.33        1.15
       283    43.015   144.116       252.1       1    1267   180    1267   179        6.83        8.70        9.75        0.92        0.34
       284    43.074   144.233       657.7       1    1274   176    1273   176        3.29        5.08        6.87        1.61        2.62
       285    43.012   144.270       685.7       1    1277   179    1276   178        0.00        0.00        1.46        0.34        5.53
       286    43.119   144.119       159.0       1    1268   173    1268   172       23.78       24.02       34.47        0.46        3.34
       287    43.373   144.981       223.9       1    1319   158    1318   158       35.02       35.62       38.38        0.68        2.83
       288    43.391   145.127       375.6       1    1328   157    1327   157       14.12       16.48       17.50        1.25        1.97
