ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
6401110,64.262,-20.512,246.386,64.264,-20.52,219,,Efstadalsbru,BRUARA,IS,2020/1/31,2018/6/6,6401111,150
6401111,64.162,-20.562,703.057,64.16,-20.559,640,,Dynjandi,BRUARA,IS,2020/1/31,2019/12/16,6401120,57
6401120,63.938,-20.629,7254.909,63.934,-20.631,7314,,Krokur,THJORSA,IS,2020/1/31,2019/12/16,-999,60
6401130,64.988,-15.087,613.293,64.984,-15.088,558,,Holl,JOKULSA I FLJOTSDAL,IS,2020/1/31,2018/7/2,-999,50
6401140,63.796,-20.112,508.197,63.797,-20.113,419,,Tungufoss,EYSTRI-RANGA,IS,2020/1/31,2019/12/16,-999,-999
6401150,63.862,-20.337,562.413,63.863,-20.341,621,,Arbaejarfoss,YTRI-RANGA,IS,2020/1/31,2018/7/2,-999,35
6401160,64.754,-14.487,106.068,64.753,-14.486,115,,Eyjolfsstadir,FOSSA,IS,2020/1/31,2019/12/16,-999,40
6401200,65.329,-19.087,868.48,65.33,-19.085,844,,Godhdala Bru,VESTRI-JOKULSA,IS,2020/1/31,2019/12/16,-999,150
6401240,65.571,-20.029,2180.759,65.49,-20.113,1699,,Langamyri,BLANDA,IS,2020/1/31,2019/12/16,-999,-999
6401250,65.304,-20.104,465.053,65.302,-20.107,458,,Forsaeludalur,VATNSDALSA,IS,2020/1/31,2019/12/16,-999,70
6401300,66.071,-21.754,206.04,66.07,-21.753,193,,Op,HVALA,IS,2020/1/31,2019/12/16,-999,25
6401310,65.588,-23.129,98.838,65.589,-23.127,102,,Eidhi,VATNSDALSA,IS,2020/1/31,2019/12/16,-999,9
6401400,65.854,-17.896,1130.874,65.851,-17.897,1102,,Ofan Arbugsa,FNJOSKA,IS,2020/1/31,2019/12/16,-999,44
6401440,63.779,-19.412,574.098,63.78,-19.417,517,,Emstrur,MARKARFLJOT,IS,2020/1/31,2019/12/16,-999,425
