GRDC Station Number,Latitude,Longitude,Catchment Area,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1160635,-32.55361176,26.67083359,77,Grey Kirk (27673119),BALFOURRIVIER,ZA,2020/1/31,2019/2/12,1160625,604
1160640,-32.87527847,27.38277817,407,King Williams Town (27672205),BUFFELSRIVIER,ZA,2020/1/31,2019/2/12,-999,521
1160641,-32.73166656,27.29333305,29,Pirie Main For. Res. (27672201),BUFFELSRIVIER,ZA,2020/1/31,2019/2/12,1160640,535
1160650,-30.7341671,29.82861137,728,Gundrift (27663201),MTAMVUNA,ZA,2020/1/31,2019/2/12,-999,617
1160660,-32.80166626,27.85527802,509,Outspan (27672101),GQUNUBE,ZA,2020/1/31,2019/2/12,-999,197
1160670,-32.57555771,27.62249947,490,Hammerhead (27711202),KUBUSI,ZA,2020/1/31,2018/5/22,-999,656
1160671,-32.57916641,27.36583328,91,Stutterheim (27711201),KUBUSI,ZA,2020/1/31,2019/2/12,1160670,796
1160675,-32.51610947,27.52361107,216,Forkroad (27711203),TOISE RIVER,ZA,2020/1/31,2019/2/12,1160670,756
1160680,-29.77694321,29.47055626,545,Fp 1609030 The Banks (27663104),MZIMKULU,ZA,2020/1/31,2019/2/12,-999,1476
1160684,-32.51639175,28.01806068,484,Area 8 Springs B,GREAT KEI,ZA,2020/1/31,2019/2/12,-999,-999
1160685,-29.7472229,29.53888893,143,Coxhill (27663103),PHOLELA,ZA,2020/1/31,2019/2/12,1160680,1498
1160687,-29.98805618,29.8516674,97,Dronkvlei (27663105),NKONZO,ZA,2020/1/31,2019/2/12,-999,997
1160688,-30.40361023,29.89444351,873,Nooitgedacht (27663102),IBISI,ZA,2020/1/31,2019/2/12,-999,600
1160690,-32.05027771,26.78972244,1414,Cathcarts Gift (27711504),SWART-KEIRIVIER,ZA,2020/1/31,2019/2/12,-999,1034
1160700,-29.74361038,29.90472221,1744,Lot93.1821 Camden (27662505),MKOMAZI,ZA,2020/1/31,2019/2/12,1160701,921
1160701,-30.16888809,30.69694328,4358,Delos Estate (27662506),MKOMAZI,ZA,2020/1/31,2018/5/22,-999,30
